index,neg,neu,pos,compound
231,0.041,0.814,0.146,0.7096
232,0.191,0.809,0.0,-0.5423
233,0.359,0.641,0.0,-0.9403
234,0.11,0.808,0.082,-0.4696
235,0.216,0.744,0.04,-0.8807
236,0.072,0.68,0.248,0.7624
237,0.0,0.89,0.11,0.6369
238,0.099,0.819,0.082,-0.2263
239,0.172,0.784,0.044,-0.7906
240,0.0,1.0,0.0,0.0
241,0.173,0.754,0.073,-0.6832
242,0.068,0.783,0.15,0.4824
243,0.044,0.814,0.143,0.6098
244,0.056,0.838,0.106,0.4019
245,0.063,0.87,0.067,0.0352
246,0.0,1.0,0.0,0.0
247,0.06,0.633,0.307,0.8979
248,0.134,0.602,0.264,0.7548
249,0.117,0.883,0.0,-0.6997
250,0.238,0.607,0.156,-0.7906
251,0.0,0.973,0.027,0.0516
252,0.14,0.782,0.078,-0.3182
253,0.0,0.935,0.065,0.3612
254,0.0,0.922,0.078,0.5255
255,0.229,0.771,0.0,-0.7929
256,0.0,0.797,0.203,0.7845
257,0.222,0.675,0.102,-0.8519
258,0.09,0.725,0.185,0.4215
259,0.153,0.68,0.167,0.1779
260,0.25,0.645,0.105,-0.8032
261,0.354,0.646,0.0,-0.9374
262,0.0,0.89,0.11,0.6767
263,0.079,0.763,0.158,0.4767
264,0.241,0.64,0.119,-0.5927
265,0.0,0.928,0.072,0.2382
266,0.216,0.725,0.06,-0.891
267,0.055,0.854,0.091,0.3432
268,0.395,0.491,0.114,-0.9751
269,0.265,0.735,0.0,-0.8402
270,0.187,0.705,0.107,-0.4876
271,0.166,0.776,0.058,-0.5994
272,0.194,0.731,0.075,-0.7359
273,0.271,0.503,0.226,-0.017
274,0.0,0.966,0.034,0.0516
275,0.147,0.853,0.0,-0.6679
276,0.0,0.776,0.224,0.5994
277,0.273,0.688,0.04,-0.8879
278,0.128,0.795,0.077,-0.2505
279,0.1,0.9,0.0,-0.4767
280,0.188,0.812,0.0,-0.7003
281,0.113,0.887,0.0,-0.5106
282,0.112,0.888,0.0,-0.7096
283,0.0,1.0,0.0,0.0
284,0.0,1.0,0.0,0.0
285,0.126,0.786,0.088,-0.1531
286,0.0,1.0,0.0,0.0
287,0.386,0.455,0.159,-0.6124
288,0.0,1.0,0.0,0.0
289,0.0,0.612,0.388,0.7887
290,0.185,0.694,0.12,-0.5916
291,0.317,0.633,0.05,-0.8823
292,0.211,0.738,0.051,-0.8316
293,0.155,0.79,0.055,-0.5449
294,0.0,1.0,0.0,0.0
295,0.092,0.684,0.224,0.6114
296,0.322,0.678,0.0,-0.5848
297,0.162,0.737,0.101,-0.1197
298,0.0,0.898,0.102,0.3612
299,0.268,0.732,0.0,-0.5106
300,0.165,0.761,0.074,-0.8443
301,0.475,0.471,0.054,-0.9582
302,0.0,0.883,0.117,0.3089
303,0.413,0.587,0.0,-0.7456
304,0.0,1.0,0.0,0.0
305,0.099,0.667,0.233,0.7372
306,0.05,0.687,0.263,0.6808
307,0.142,0.858,0.0,-0.8074
308,0.0,0.869,0.131,0.5826
309,0.154,0.818,0.029,-0.6714
310,0.313,0.549,0.137,-0.4939
311,0.36,0.64,0.0,-0.6705
312,0.33,0.621,0.049,-0.9201
313,0.07,0.741,0.189,0.4382
314,0.0,0.777,0.223,0.7639
315,0.0,0.913,0.087,0.4199
316,0.149,0.788,0.063,-0.6568
317,0.057,0.943,0.0,-0.4019
318,0.123,0.877,0.0,-0.5848
319,0.059,0.686,0.255,0.7418
320,0.397,0.572,0.031,-0.9578
321,0.175,0.765,0.06,-0.4969
322,0.245,0.657,0.099,-0.6124
323,0.065,0.742,0.194,0.6597
324,0.111,0.814,0.075,-0.4078
